,count+mnb,count+svm,count+mlp,tfidf+mnb, tfidf+svm, tfidf+mlp,sum
tm ,0,0,0,0,0,0,0
command-line ,0,0,0,0,0,0,0
business-intelligence ,0,0,0,0,0,0,0
fedex ,0,0,0,0,0,0,0
sdk ,0,0,0,0,0,0,0
event-driven ,0,0,0,0,0,0,0
java ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
data-acquisition ,0,0,0,0,0,0,0
frame-rate ,0,0,0,0,0,0,0
client-side ,0,0,0,0,0,0,0
http ,0,0,0,0,0,0,0
python ,0,0,0,0,0,0,0
rcp ,0,0,0,0,0,0,0
qt ,0,0,0,0,0,0,0
c64 ,0,0,0,0,0,0,0
xslt ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
text-editor ,0,0,0,0,0,0,0
xml ,0,0,0,0,0,0,0
html ,0,0,0,0,0,0,0
zend-soap ,0,0,0,0,0,0,0
cryptography ,0,0,0,0,0,0,0
compiler-directives ,0,0,0,0,0,0,0
drupal-modules ,0,0,0,0,0,0,0
implementation ,0,0,0,0,0,0,0
eclipse ,0,0,0,0,0,0,0
wireless ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
sdk ,0,0,0,0,0,0,0
maya ,0,0,0,0,0,0,0
installer ,0,0,0,0,0,0,0
authentication ,0,0,0,0,0,0,0
python-module ,0,0,0,0,0,0,0
implementation ,0,0,0,0,0,0,0
html5 ,0,0,0,0,0,0,0
command-line ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
http ,0,0,0,0,0,0,0
constraints ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
utc ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
search-form ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
interface ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
xmpp ,0,0,0,0,0,0,0
abstract-data-type ,0,0,0,0,0,0,0
implementation ,0,0,0,0,0,0,0
linux ,0,0,0,0,0,0,0
facebook-sdk-3.1 ,0,0,0,0,0,0,0
hadoop ,0,0,0,0,0,0,0
subset ,0,0,0,0,0,0,0
ansi ,0,0,0,0,0,0,0
server ,0,0,0,0,0,0,0
subclass ,0,0,0,0,0,0,0
configuration-files ,0,0,0,0,0,0,0
interface ,0,0,0,0,0,0,0
implementation ,0,0,0,0,0,0,0
osgi ,0,0,0,0,0,0,0
dom ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
gpc ,0,0,0,0,0,0,0
python-module ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
lua ,0,0,0,0,0,0,0
visualization ,0,0,0,0,0,0,0
algorithm ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
clockpicker ,0,0,0,0,0,0,0
encoding ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
many-to-many ,0,0,0,0,0,0,0
database ,0,0,0,0,0,0,0
rfc5545 ,0,0,0,0,0,0,0
geospatial ,0,0,0,0,0,0,0
operating-system ,0,0,0,0,0,0,0
model-view-controller ,0,0,0,0,0,0,0
pdf ,0,0,0,0,0,0,0
dce ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
apache ,0,0,0,0,0,0,0
php ,0,0,0,0,0,0,0
javadoc ,0,0,0,0,0,0,0
django ,0,0,0,0,0,0,0
netflix ,0,0,0,0,0,0,0
ubuntu ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
copyright ,0,0,0,0,0,0,0
datagrid ,0,0,0,0,0,0,0
msn ,0,0,0,0,0,0,0
java ,0,0,0,0,0,0,0
server ,0,0,0,0,0,0,0
xml ,0,0,0,0,0,0,0
cursor ,0,0,0,0,0,0,0
twitter-bootstrap ,0,0,0,0,0,0,0
ndef ,0,0,0,0,0,0,0
open-source ,0,0,0,0,0,0,0
toolkit ,0,0,0,0,0,0,0
eps ,0,0,0,0,0,0,0
qmainwindow ,0,0,0,0,0,0,0
refactoring ,0,0,0,0,0,0,0
html ,0,0,0,0,0,0,0
ncover ,0,0,0,0,0,0,0
header-files ,0,0,0,0,0,0,0
silverlight ,0,0,0,0,0,0,0
server-side ,0,0,0,0,0,0,0
swt ,0,0,0,0,0,0,0
ajax ,0,0,0,0,0,0,0
daemon ,0,0,0,0,0,0,0
n-gram ,0,0,0,0,0,0,0
pdf-viewer ,0,0,0,0,0,0,0
postgresql ,0,0,0,0,0,0,0
selector ,0,0,0,0,0,0,0
http ,0,0,0,0,0,0,0
validation ,0,0,0,0,0,0,0
qt ,0,0,0,0,0,0,0
pixels ,0,0,0,0,0,0,0
sap ,0,0,0,0,0,0,0
unit-testing ,0,0,0,0,0,0,0
binary ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
msmq ,0,0,0,0,0,0,0
load-testing ,0,0,0,0,0,0,0
website ,0,0,0,0,0,0,0
perl ,0,0,0,0,0,0,0
bdd ,0,0,0,0,0,0,0
java ,0,0,0,0,0,0,0
postgresql ,0,0,0,0,0,0,0
html5 ,0,0,0,0,0,0,0
oracle ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
authentication ,0,0,0,0,0,0,0
web-applications ,0,0,0,0,0,0,0
mysql ,0,0,0,0,0,0,0
ajax ,0,0,0,0,0,0,0
endpoint ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
xhtml ,0,0,0,0,0,0,0
database ,0,0,0,0,0,0,0
kmip ,0,0,0,0,0,0,0
eclipse ,0,0,0,0,0,0,0
static-libraries ,0,0,0,0,0,0,0
pixel ,0,0,0,0,0,0,0
clojure ,0,0,0,0,0,0,0
dependencies ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
metrics ,0,0,0,0,0,0,0
video ,0,0,0,0,0,0,0
java ,0,0,0,0,0,0,0
windows-8.1 ,0,0,0,0,0,0,0
http-request ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
ruby-on-rails ,0,0,0,0,0,0,0
ios ,0,0,0,0,0,0,0
concurrent-programming ,0,0,0,0,0,0,0
hl7-fhir ,0,0,0,0,0,0,0
url ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
templates ,0,0,0,0,0,0,0
key-value-store ,0,0,0,0,0,0,0
drupal-6 ,0,0,0,0,0,0,0
audio ,0,0,0,0,0,0,0
file-format ,0,0,0,0,0,0,0
google-maps ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
vmware ,0,0,0,0,0,0,0
authentication ,0,0,0,0,0,0,0
xpath-1.0 ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
.net ,0,0,0,0,0,0,0
java ,0,0,0,0,0,0,0
